Categoria criminologa,Sottocategoria Criminologica,Circoscrizione,Localita,Area Verde,Data,Ora
Convivenza Civile,Altro,5,BORGARO/(VIA)                                                         ,,05/01/2018,
Convivenza Civile,Altro,,,Area Verde,08/01/2018,
Convivenza Civile,Altro,1,VITTORIO VENETO/(PIAZZA)                                              ,,09/01/2018,
Convivenza Civile,Altro,3,DUCHESSA JOLANDA/(VIA)                                                ,,09/01/2018,
Convivenza Civile,Altro,1,FERRARIS/GALILEO (CORSO)                                              ,,12/01/2018,
Convivenza Civile,Altro,7,PADOVA/(VIA)                                                          ,,12/01/2018,
Convivenza Civile,Altro,7,REGINA MARGHERITA/(CORSO)                                             ,,12/01/2018,
Convivenza Civile,Altro,7,S. GIUSEPPE BENEDETTO COTTOLENGO/(VIA)                                ,,12/01/2018,
Convivenza Civile,Altro,3,CHALLANT/(VIA)                                                        ,,14/01/2018,
Convivenza Civile,Altro,1,CONSOLATA/(VIA DELLA)                                                 ,,15/01/2018,
Convivenza Civile,Altro,6,CALVI/PIER FORTUNATO (VIA)                                            ,,15/01/2018,
Convivenza Civile,Altro,8,D'AZEGLIO/MASSIMO (CORSO)                                             ,,15/01/2018,
Convivenza Civile,Altro,3,MARTINI MAURI/ENRICO (VIA)                                            ,,17/01/2018,
Convivenza Civile,Altro,6,BARBANIA/(VIA)                                                        ,,17/01/2018,
Convivenza Civile,Altro,8,S. LUCIA/(STRADA)                                                     ,,17/01/2018,
Convivenza Civile,Altro,1,CASSINI/GIAN DOMENICO (LARGO)                                         ,,18/01/2018,
Convivenza Civile,Altro,8,NIZZA/(VIA)                                                           ,,19/01/2018,
Convivenza Civile,Altro,9,VENTIMIGLIA/(VIA)                                                     ,,19/01/2018,
Convivenza Civile,Altro,10,FLEMING/ALESSANDRO (VIA)                                              ,,19/01/2018,11.18
Convivenza Civile,Altro,4,PIFFETTI/PIETRO (VIA)                                                 ,,20/01/2018,
Convivenza Civile,Altro,6,SESIA/(VIA)                                                           ,,20/01/2018,
Convivenza Civile,Altro,8,SALINO/(STRADA DEL)                                                   ,,20/01/2018,
Convivenza Civile,Altro,5,GROSSETO/(CORSO)                                                      ,,22/01/2018,
Convivenza Civile,Altro,5,GROSSETO/(CORSO)                                                      ,,22/01/2018,
Convivenza Civile,Altro,6,TRINO/(VIA)                                                           ,,22/01/2018,
Convivenza Civile,Altro,4,PACCHIOTTI/GIACINTO (VIA)                                             ,,23/01/2018,
Convivenza Civile,Altro,5,LANZO/(STRADA)                                                        ,,23/01/2018,
Convivenza Civile,Altro,7,REGINA MARGHERITA/(CORSO)                                             ,,23/01/2018,
Convivenza Civile,Altro,6,MONTE ROSA/(VIA)                                                      ,,24/01/2018,
Convivenza Civile,Altro,8,FREGUGLIA/CARLO (PIAZZA)                                              ,,24/01/2018,
Convivenza Civile,Altro,10,DUINO/(VIA)                                                           ,,24/01/2018,
Convivenza Civile,Altro,7,MONDOVI'/(VIA)                                                        ,,24/01/2018,10.18
Convivenza Civile,Altro,8,CANOVA/ANTONIO (VIA)                                                  ,,25/01/2018,
Convivenza Civile,Altro,8,VOLTURNO/(VIA)                                                        ,,25/01/2018,
Convivenza Civile,Altro,3,S. AMBROGIO/(VIA)                                                     ,,25/01/2018,14.05
Convivenza Civile,Altro,7,CIGNA/FRANCESCO (LARGO)                                               ,,26/01/2018,
Convivenza Civile,Altro,3,REVELLO/(VIA)                                                         ,,29/01/2018,
Convivenza Civile,Altro,4,MURRONI/(STRADA)                                                      ,,29/01/2018,
Convivenza Civile,Altro,6,GIULIO CESARE/(CORSO)                                                 ,,29/01/2018,
Convivenza Civile,Altro,7,REGINA MARGHERITA/(CORSO)                                             ,,29/01/2018,
Convivenza Civile,Altro,,,,30/01/2018,
Convivenza Civile,Altro,1,RE UMBERTO/(CORSO)                                                    ,,30/01/2018,
Convivenza Civile,Altro,8,BRAMANTE/(CORSO)                                                      ,,30/01/2018,
Convivenza Civile,Altro,1,GARIBALDI/GIUSEPPE (VIA)                                              ,,31/01/2018,
Convivenza Civile,Altro,3,ASIAGO/(VIA)                                                          ,,31/01/2018,
Convivenza Civile,Altro,6,LAZIO/(LUNGO STURA)                                                   ,,31/01/2018,
Convivenza Civile,Altro,9,TRAIANO/(CORSO)                                                       ,,31/01/2018,
Convivenza Civile,Altro,9,UNIONE SOVIETICA/(CORSO)                                              ,,31/01/2018,
Convivenza Civile,Altro,4,REGINA MARGHERITA/(CORSO)                                             ,,01/02/2018,10.16
Convivenza Civile,Altro,6,ULIVI/(VIA DEGLI)                                                     ,,03/02/2018,
Convivenza Civile,Altro,4,VAGNONE/(VIA)                                                         ,,05/02/2018,
Convivenza Civile,Altro,5,BREGLIO/(VIA)                                                         ,,05/02/2018,
Convivenza Civile,Altro,6,BOTTICELLI/SANDRO (VIA)                                               ,,05/02/2018,
Convivenza Civile,Altro,1,AMENDOLA/GIOVANNI (VIA)                                               ,,06/02/2018,
Convivenza Civile,Altro,3,FORNACA FRATELLI/(VIA)                                                ,,06/02/2018,
Convivenza Civile,Altro,3,GAMBASCA/(VIA)                                                        ,,06/02/2018,
Convivenza Civile,Altro,5,GROSSETO/(CORSO)                                                      ,,06/02/2018,
Convivenza Civile,Altro,1,PO/(VIA)                                                              ,,07/02/2018,
Convivenza Civile,Altro,4,GAGLIANICO/(VIA)                                                      ,,07/02/2018,
Convivenza Civile,Altro,6,VIGEVANO/(CORSO)                                                      ,,07/02/2018,
Convivenza Civile,Altro,7,BRESCIA/(LARGO)                                                       ,,07/02/2018,
Convivenza Civile,Altro,3,OULX/(VIA)                                                            ,,08/02/2018,
Convivenza Civile,Altro,4,PASSONI/MARIO E PIER LUIGI (VIA)                                      ,,08/02/2018,
Convivenza Civile,Altro,6,FRANCESE/(STRADA DEL)                                                 ,,08/02/2018,
Convivenza Civile,Altro,9,PIO VII/(VIA)                                                         ,,08/02/2018,
Convivenza Civile,Altro,3,DELLA ROBBIA/LUCA (VIA)                                               ,,09/02/2018,
Convivenza Civile,Altro,5,CINCINNATO/L. QUINZIO (CORSO)                                         ,,09/02/2018,
Convivenza Civile,Altro,5,SOSPELLO/(VIA)                                                        ,,09/02/2018,
Convivenza Civile,Altro,4,CAPELLI/CARLO (VIA)                                                   ,,11/02/2018,
Convivenza Civile,Altro,1,VITTORIO EMANUELE II/(CORSO)                                          ,,12/02/2018,
Convivenza Civile,Altro,3,CAPRIE/(VIA)                                                          ,,12/02/2018,
Convivenza Civile,Altro,3,CARSO/(VIA)                                                           ,,12/02/2018,08.59
Convivenza Civile,Altro,1,CABOTO/SEBASTIANO (VIA)                                               ,,13/02/2018,
Convivenza Civile,Altro,2,GORIZIA/(VIA)                                                         ,,13/02/2018,
Convivenza Civile,Altro,6,S. BENIGNO/(VIA)                                                      ,,13/02/2018,
Convivenza Civile,Altro,7,BRESCIA/(CORSO)                                                       ,,13/02/2018,
Convivenza Civile,Altro,7,TORTONA/(CORSO)                                                       ,,13/02/2018,10.56
Convivenza Civile,Altro,1,VITTORIO EMANUELE II/(LARGO)                                          ,,14/02/2018,
Convivenza Civile,Altro,3,SPALATO/(VIA)                                                         ,,14/02/2018,
Convivenza Civile,Altro,5,NIGRA/COSTANTINO (VIA)                                                ,,14/02/2018,
Convivenza Civile,Altro,1,VITTORIO VENETO/(PIAZZA)                                              ,,15/02/2018,
Convivenza Civile,Altro,8,D'AZEGLIO/MASSIMO (CORSO)                                             ,,15/02/2018,
Convivenza Civile,Altro,3,CASTELFIDARDO/(CORSO)                                                 ,,16/02/2018,
Convivenza Civile,Altro,3,DI NANNI/DANTE (VIA)                                                  ,,16/02/2018,
Convivenza Civile,Altro,5,MORTARA/(CORSO)                                                       ,,16/02/2018,
Convivenza Civile,Altro,7,RIVAROLO/(VIA)                                                        ,,18/02/2018,
Convivenza Civile,Altro,1,GOBETTI/PIERO (VIA)                                                   ,,19/02/2018,
Convivenza Civile,Altro,2,COSENZA/(CORSO)                                                       ,,19/02/2018,
Convivenza Civile,Altro,2,MOMBASIGLIO/(VIA)                                                     ,,19/02/2018,
Convivenza Civile,Altro,3,ISONZO/(VIA)                                                          ,,19/02/2018,
Convivenza Civile,Altro,4,ASINARI DI BERNEZZO/VITTORIO (VIA)                                    ,,19/02/2018,
Convivenza Civile,Altro,5,SOSPELLO/(VIA)                                                        ,Area Verde,19/02/2018,
Convivenza Civile,Altro,6,GOTTARDO/(VIA)                                                        ,,19/02/2018,
Convivenza Civile,Altro,9,SIDOLI/GIUDITTA (VIA)                                                 ,Area Verde,19/02/2018,
Convivenza Civile,Altro,2,GRAGLIA/(VIA)                                                         ,,20/02/2018,
Convivenza Civile,Altro,3,POLLENZO/(VIA)                                                        ,,20/02/2018,
Convivenza Civile,Altro,3,RENIER/RODOLFO (VIA)                                                  ,,21/02/2018,
Convivenza Civile,Altro,5,GATTICO/(VIA)                                                         ,,21/02/2018,
Convivenza Civile,Altro,5,REISS ROMOLI/GUGLIELMO (VIA)                                          ,,21/02/2018,
Convivenza Civile,Altro,6,CAMPOBASSO/(VIA)                                                      ,,21/02/2018,
Convivenza Civile,Altro,6,LAZIO/(LUNGO STURA)                                                   ,,21/02/2018,
Convivenza Civile,Altro,6,MONTEVERDI/CLAUDIO (VIA)                                              ,,21/02/2018,
Convivenza Civile,Altro,1,CORTE D'APPELLO/(VIA)                                                 ,,22/02/2018,
Convivenza Civile,Altro,3,REY/GUIDO (VIA)                                                       ,,22/02/2018,
Convivenza Civile,Altro,9,MADONNA DELLE ROSE/(VIA)                                              ,,22/02/2018,
Convivenza Civile,Altro,7,CARTMAN/(STRADA DEL)                                                  ,,24/02/2018,
Convivenza Civile,Altro,4,TELESIO/BERNARDINO (CORSO)                                            ,,26/02/2018,
Convivenza Civile,Altro,9,CASANA/SEVERINO (VIA)                                                 ,,26/02/2018,
Convivenza Civile,Altro,8,MARCONI/GUGLIELMO (CORSO)                                             ,,27/02/2018,
Convivenza Civile,Altro,2,VEGLIA/(VIA)                                                          ,,28/02/2018,
Convivenza Civile,Altro,5,SOSPELLO/(VIA)                                                        ,,28/02/2018,
Convivenza Civile,Altro,6,TARANTO/(CORSO)                                                       ,,28/02/2018,
Convivenza Civile,Altro,7,BELGIO/(CORSO)                                                        ,,28/02/2018,
Convivenza Civile,Altro,7,S. MAURIZIO/(CORSO)                                                   ,,28/02/2018,
Convivenza Civile,Altro,2,AGNELLI/GIOVANNI (CORSO)                                              ,,01/03/2018,
Convivenza Civile,Altro,9,VIGLIANI/ONORATO (VIA)                                                ,,01/03/2018,
Convivenza Civile,Altro,6,CASCINOTTO/(STRADA DEL)                                               ,,02/03/2018,
Convivenza Civile,Altro,8,PELLICO/SILVIO (VIA)                                                  ,,02/03/2018,
Convivenza Civile,Altro,6,COLONNA/VITTORIA (VIA)                                                ,,04/03/2018,
Convivenza Civile,Altro,1,STAMPATORI/(VIA)                                                      ,,05/03/2018,
Convivenza Civile,Altro,7,FIRENZE/(LUNGO DORA)                                                  ,,05/03/2018,
Convivenza Civile,Altro,8,CRIMEA/(PIAZZA)                                                       ,,05/03/2018,
Convivenza Civile,Altro,8,THOVEZ/ENRICO (VIALE)                                                 ,,05/03/2018,
Convivenza Civile,Altro,1,VENTI SETTEMBRE/(VIA)                                                 ,,06/03/2018,
Convivenza Civile,Altro,7,BRESCIA/(CORSO)                                                       ,,06/03/2018,
Convivenza Civile,Altro,7,CADORE/(CORSO)                                                        ,,06/03/2018,
Convivenza Civile,Altro,7,VAL S. MARTINO SUPERIORE/(STRADA)                                     ,,06/03/2018,
Convivenza Civile,Altro,1,QUATTRO MARZO/(LARGO)                                                 ,,07/03/2018,
Convivenza Civile,Altro,1,RE UMBERTO/(CORSO)                                                    ,,07/03/2018,
Convivenza Civile,Altro,4,TASSONI/ALESSANDRO (CORSO)                                            ,,07/03/2018,
Convivenza Civile,Altro,7,REPUBBLICA/(PIAZZA DELLA)                                             ,,07/03/2018,
Convivenza Civile,Altro,1,VITTORIO VENETO/(PIAZZA)                                              ,,08/03/2018,
Convivenza Civile,Altro,3,GROSCAVALLO/(VIA)                                                     ,,08/03/2018,
Convivenza Civile,Altro,3,SPALATO/(VIA)                                                         ,,08/03/2018,
Convivenza Civile,Altro,4,CAMPANELLA/TOMMASO (PIAZZA)                                           ,,08/03/2018,
Convivenza Civile,Altro,6,VIGEVANO/(CORSO)                                                      ,,08/03/2018,
Convivenza Civile,Altro,7,PRALUNGO/(VIA)                                                        ,,08/03/2018,
Convivenza Civile,Altro,8,PETITTI/ILARIONE (VIA)                                                ,,08/03/2018,
Convivenza Civile,Altro,9,NIZZA/(VIA)                                                           ,,08/03/2018,14.07
Convivenza Civile,Altro,3,BARDONECCHIA/(VIA)                                                    ,,09/03/2018,12.35
Convivenza Civile,Altro,1,ARBARELLO/VINCENZO (PIAZZA)                                           ,,11/03/2018,
Convivenza Civile,Altro,1,BAVA/EUSEBIO (VIA)                                                    ,,11/03/2018,
Convivenza Civile,Altro,5,FOLIGNO/(VIA)                                                         ,,12/03/2018,
Convivenza Civile,Altro,1,ROERO DI CORTANZE/ERCOLE TOMMASO (VIA)                                ,,13/03/2018,
Convivenza Civile,Altro,1,SACCHI/PAOLO (VIA)                                                    ,,13/03/2018,
Convivenza Civile,Altro,1,VITTORIO EMANUELE II/(CORSO)                                          ,,13/03/2018,
Convivenza Civile,Altro,4,TASSONI/ALESSANDRO (CORSO)                                            ,,13/03/2018,
Convivenza Civile,Altro,7,CHIAVES/DESIDERATO (PIAZZA)                                           ,,13/03/2018,
Convivenza Civile,Altro,7,GIOVANNI DALLE BANDE NERE/(PIAZZA)                                    ,,13/03/2018,
Convivenza Civile,Altro,7,FIRENZE/(LUNGO DORA)                                                  ,,13/03/2018,10.08
Convivenza Civile,Altro,5,SAORGIO/(VIA)                                                         ,,13/03/2018,11.44
Convivenza Civile,Altro,5,TOSCANA/(LARGO)                                                       ,,13/03/2018,11.52
Convivenza Civile,Altro,7,BRESCIA/(CORSO)                                                       ,,13/03/2018,12.09
Convivenza Civile,Altro,5,FOLIGNO/(VIA)                                                         ,,14/03/2018,
Convivenza Civile,Altro,5,TOSCANA/(CORSO)                                                       ,,14/03/2018,
Convivenza Civile,Altro,8,BRAMANTE/(CORSO)                                                      ,,14/03/2018,
Convivenza Civile,Altro,8,GALLIARI/BERNARDINO (VIA)                                             ,,14/03/2018,
Convivenza Civile,Altro,1,COLOMBO/CRISTOFORO (VIA)                                              ,,15/03/2018,
Convivenza Civile,Altro,3,FORESTO/(VIA)                                                         ,,15/03/2018,
Convivenza Civile,Altro,6,FELETTO/(VIA)                                                         ,,15/03/2018,
Convivenza Civile,Altro,6,S. MAURO/(STRADA)                                                     ,,15/03/2018,
Convivenza Civile,Altro,7,ROVIGO/(VIA)                                                          ,,15/03/2018,
Convivenza Civile,Altro,7,TORTONA/(CORSO)                                                       ,,15/03/2018,
Convivenza Civile,Altro,,,Area Verde,16/03/2018,
Convivenza Civile,Altro,9,VENTIMIGLIA/(VIA)                                                     ,,16/03/2018,
Convivenza Civile,Altro,1,CADORNA/LUIGI (LUNGO PO)                                              ,,18/03/2018,
Convivenza Civile,Altro,1,CARIGNANO/(PIAZZA)                                                    ,,18/03/2018,
Convivenza Civile,Altro,8,SANTAROSA/SANTORRE (VIA)                                              ,,19/03/2018,
Convivenza Civile,Altro,10,SETTEMBRINI/LUIGI (CORSO)                                             ,,19/03/2018,
Convivenza Civile,Altro,1,MATTEOTTI/GIACOMO (CORSO)                                             ,,20/03/2018,
Convivenza Civile,Altro,3,VAL LAGARINA/(VIA)                                                    ,,20/03/2018,
Convivenza Civile,Altro,7,METASTASIO/(VIA)                                                      ,,20/03/2018,14.31
Convivenza Civile,Altro,5,FEA/LEONARDO (VIA)                                                    ,,21/03/2018,
Convivenza Civile,Altro,5,STRADELLA/(VIA)                                                       ,,21/03/2018,
Convivenza Civile,Altro,6,CALVI/PIER FORTUNATO (VIA)                                            ,,21/03/2018,
Convivenza Civile,Altro,8,SELLA/QUINTINO (CORSO)                                                ,,21/03/2018,
Convivenza Civile,Altro,9,CANELLI/(VIA)                                                         ,,22/03/2018,
Convivenza Civile,Altro,3,RACCONIGI/(CORSO)                                                     ,,23/03/2018,
Convivenza Civile,Altro,5,LANZO/(VIA)                                                           ,,23/03/2018,
Convivenza Civile,Altro,8,MARCONI/GUGLIELMO (CORSO)                                             ,,23/03/2018,
Convivenza Civile,Altro,3,BUSSOLENO/(VIA)                                                       ,,23/03/2018,11.40
Convivenza Civile,Altro,3,ISONZO/(VIA)                                                          ,,26/03/2018,
Convivenza Civile,Altro,10,RICCIO/CAMILLO (VIA)                                                  ,,26/03/2018,
Convivenza Civile,Altro,1,GIULIA DI BAROLO/(VIA)                                                ,,27/03/2018,
Convivenza Civile,Altro,1,MATTEOTTI/GIACOMO (CORSO)                                             ,,27/03/2018,
Convivenza Civile,Altro,3,SAGRA DI S. MICHELE/(VIA)                                             ,,27/03/2018,
Convivenza Civile,Altro,4,MIGLIETTI/VINCENZO MARIA (VIA)                                        ,,27/03/2018,
Convivenza Civile,Altro,1,MARCO POLO/(VIA)                                                      ,,28/03/2018,
Convivenza Civile,Altro,1,VIOTTI/GIAMBATTISTA (VIA)                                             ,,28/03/2018,
Convivenza Civile,Altro,9,CORSICA/(CORSO)                                                       ,,28/03/2018,
Convivenza Civile,Altro,3,RUA/DON MICHELE (VIA)                                                 ,,29/03/2018,
Convivenza Civile,Altro,4,CASERTA/(VIA)                                                         ,,29/03/2018,
Convivenza Civile,Altro,6,CENTALLO/(VIA)                                                        ,,29/03/2018,
Convivenza Civile,Altro,6,PALESTRINA/PIER LUIGI (VIA)                                           ,,29/03/2018,
Convivenza Civile,Altro,8,LANZA/GIOVANNI (CORSO)                                                ,,29/03/2018,
Convivenza Civile,Altro,4,SVIZZERA/(CORSO)                                                      ,,30/03/2018,
Convivenza Civile,Altro,4,DIGIONE/(VIA)                                                         ,,30/03/2018,09.24
Convivenza Civile,Altro,4,S. DONATO/(VIA)                                                       ,,30/03/2018,13.37
Convivenza Civile,Altro,2,ORBASSANO/(CORSO)                                                     ,,03/04/2018,
Convivenza Civile,Altro,3,BORSELLINO/PAOLO (VIA)/                                               ,Area Verde,03/04/2018,
Convivenza Civile,Altro,4,PACCHIOTTI/GIACINTO (VIA)                                             ,,03/04/2018,
Convivenza Civile,Altro,7,VARESE/(VIA)                                                          ,,03/04/2018,
Convivenza Civile,Altro,1,DANTE/(CORSO)                                                         ,,04/04/2018,
Convivenza Civile,Altro,1,S. FRANCESCO D'ASSISI/(VIA)                                           ,,04/04/2018,
Convivenza Civile,Altro,6,ENNA/(VIA)                                                            ,Area Verde,05/04/2018,
Convivenza Civile,Altro,4,CHIRONI/GIAMPIETRO (PIAZZA)                                           ,,06/04/2018,
Convivenza Civile,Altro,5,SAURO/NAZARIO (PIAZZA)                                                ,,06/04/2018,
Convivenza Civile,Altro,10,LOANO/(VIA)                                                           ,,07/04/2018,
Convivenza Civile,Altro,7,TARINO/LUIGI (VIA)                                                    ,,08/04/2018,
Convivenza Civile,Altro,3,S. ANTONINO/(VIA)                                                     ,,09/04/2018,
Convivenza Civile,Altro,5,MANNO/GIUSEPPE (PIAZZA)                                               ,,10/04/2018,
Convivenza Civile,Altro,5,STRADELLA/(VIA)                                                       ,,10/04/2018,
Convivenza Civile,Altro,6,SOANA/(VIA)                                                           ,,10/04/2018,
Convivenza Civile,Altro,7,NOVARA/(CORSO)                                                        ,,10/04/2018,
Convivenza Civile,Altro,4,CAPELLI/CARLO (VIA)                                                   ,,11/04/2018,
Convivenza Civile,Altro,7,PALERMO/(CORSO)                                                       ,,11/04/2018,
Convivenza Civile,Altro,8,CAVORETTO/(STRADA DI)                                                 ,,11/04/2018,
Convivenza Civile,Altro,1,TURATI/FILIPPO (CORSO)                                                ,,12/04/2018,
Convivenza Civile,Altro,8,SOMMEILLER/GERMANO (CORSO)                                            ,,12/04/2018,
Convivenza Civile,Altro,2,CAPRERA/(VIA)                                                         ,,13/04/2018,
Convivenza Civile,Altro,4,FRANCIA/(CORSO)                                                       ,,13/04/2018,
Convivenza Civile,Altro,8,CARDINALE MAURIZIO/(VIA)                                              ,,16/04/2018,
Convivenza Civile,Altro,3,ISSIGLIO/(VIA)                                                        ,,17/04/2018,
Convivenza Civile,Altro,4,BALBIS/GIAMBATTISTA (VIA)                                             ,,18/04/2018,
Convivenza Civile,Altro,4,FRANCIA/(CORSO)                                                       ,,18/04/2018,
Convivenza Civile,Altro,5,MORTARA/(CORSO)                                                       ,,18/04/2018,
Convivenza Civile,Altro,8,SANTENA/(VIA)                                                         ,,19/04/2018,
Convivenza Civile,Altro,1,BELLEZIA/GIAN FRANCESCO (VIA)                                         ,,20/04/2018,
Convivenza Civile,Altro,6,PERGOLESI/GIAMBATTISTA (VIA)                                          ,,20/04/2018,
Convivenza Civile,Altro,3,TRAPANI/(CORSO)                                                       ,,23/04/2018,
Convivenza Civile,Altro,5,ROCCAVIONE CONTE DI/(VIA)                                             ,,24/04/2018,
Convivenza Civile,Altro,6,BIASONI/(STRADA DEI)                                                  ,,24/04/2018,
Convivenza Civile,Altro,3,MEZZENILE/(VIA)                                                       ,,26/04/2018,09.45
Convivenza Civile,Altro,4,BORGOSESIA/(VIA)                                                      ,,27/04/2018,
Convivenza Civile,Altro,8,S. VITO REVIGLIASCO/(STRADA)                                          ,Area Verde,27/04/2018,
Convivenza Civile,Altro,3,SOMIS/GIOVANNI (VIA)                                                  ,,28/04/2018,
Convivenza Civile,Altro,1,PALESTRO/(CORSO)                                                      ,,02/05/2018,
Convivenza Civile,Altro,4,LECCE/(CORSO)                                                         ,,02/05/2018,
Convivenza Civile,Altro,5,SOSPELLO/(VIA)                                                        ,,02/05/2018,
Convivenza Civile,Altro,5,VIBO'/(VIA)                                                           ,,02/05/2018,
Convivenza Civile,Altro,6,TARANTO/(CORSO)                                                       ,,02/05/2018,
Convivenza Civile,Altro,9,BAIARDI/PIETRO (VIA)                                                  ,,02/05/2018,
Convivenza Civile,Altro,4,TASSONI/ALESSANDRO (CORSO)                                            ,,03/05/2018,
Convivenza Civile,Altro,5,CHIESA DELLA SALUTE/(VIA)                                             ,,03/05/2018,
Convivenza Civile,Altro,6,BOLOGNA/(VIA)                                                         ,,03/05/2018,
Convivenza Civile,Altro,3,MALTA/(VIA)                                                           ,,07/05/2018,
Convivenza Civile,Altro,3,MALTA/(VIA)                                                           ,,07/05/2018,
Convivenza Civile,Altro,8,MONCALIERI/(CORSO)                                                    ,,07/05/2018,
Convivenza Civile,Altro,1,DONATI/VITALIANO (VIA)                                                ,,09/05/2018,
Convivenza Civile,Altro,5,COPPINO/MICHELE (VIA)                                                 ,,09/05/2018,
Convivenza Civile,Altro,8,MONCALIERI/(CORSO)                                                    ,,10/05/2018,
Convivenza Civile,Altro,8,VAL SALICE/(STRADA)                                                   ,,10/05/2018,
Convivenza Civile,Altro,7,MARTINI/LORENZO (VIA)                                                 ,,12/05/2018,
Convivenza Civile,Altro,1,DE GASPERI/ALCIDE (CORSO)                                             ,,15/05/2018,
Convivenza Civile,Altro,1,DE NICOLA/ENRICO (CORSO)                                              ,,15/05/2018,
Convivenza Civile,Altro,5,BREGLIO/(VIA)                                                         ,,15/05/2018,
Convivenza Civile,Altro,6,BOTTICELLI/SANDRO (VIA)                                               ,,15/05/2018,
Convivenza Civile,Altro,4,GALVANI/LUIGI (VIA)                                                   ,,16/05/2018,
Convivenza Civile,Altro,4,TALUCCHI/GIUSEPPE (VIA)                                               ,,16/05/2018,
Convivenza Civile,Altro,5,POTENZA/(CORSO)                                                       ,,18/05/2018,
Convivenza Civile,Altro,1,S. CHIARA/(VIA)                                                       ,,18/05/2018,09.47
Convivenza Civile,Altro,3,COAZZE/(VIA)                                                          ,,21/05/2018,
Convivenza Civile,Altro,7,EMILIA/(CORSO)                                                        ,,22/05/2018,
Convivenza Civile,Altro,1,GIOLITTI/GIOVANNI (VIA)                                               ,,23/05/2018,
Convivenza Civile,Altro,3,FRANCIA/(CORSO)                                                       ,,23/05/2018,
Convivenza Civile,Altro,1,GOVERNOLO/(VIA)                                                       ,,24/05/2018,
Convivenza Civile,Altro,4,LECCE/(CORSO)                                                         ,,25/05/2018,
Convivenza Civile,Altro,1,AVOGADRO/AMEDEO (VIA)                                                 ,,26/05/2018,
Convivenza Civile,Altro,3,SUSA/(VIA)                                                            ,,26/05/2018,
Convivenza Civile,Altro,,,,28/05/2018,
Convivenza Civile,Altro,5,GROSSETO/(CORSO)                                                      ,,28/05/2018,
Convivenza Civile,Altro,6,GIULIO CESARE/(CORSO)                                                 ,,28/05/2018,
Convivenza Civile,Altro,7,NAPOLI/(LUNGO DORA)                                                   ,,28/05/2018,
Convivenza Civile,Altro,1,GIOLITTI/GIOVANNI (VIA)                                               ,,29/05/2018,
Convivenza Civile,Altro,4,ASINARI DI BERNEZZO/VITTORIO (VIA)                                    ,,29/05/2018,
Convivenza Civile,Altro,7,BORGO DORA/(PIAZZA)                                                   ,,29/05/2018,
Convivenza Civile,Altro,8,CANOVA/ANTONIO (VIA)                                                  ,,29/05/2018,
Convivenza Civile,Altro,3,MONGINEVRO/(VIA)                                                      ,,30/05/2018,
Convivenza Civile,Altro,7,CIGNA/FRANCESCO (VIA)                                                 ,,30/05/2018,
Convivenza Civile,Altro,8,DEL CARRETTO/LUISA (VIA)                                              ,,30/05/2018,
Convivenza Civile,Altro,1,FRUGAROLO/(VIA)                                                       ,,31/05/2018,
