WKT,C_COMP_MER,INDIRIZZ,CARRAIO,FRONTE,INSEGNA,ANNO_INI,MESE_INI,TIPO_MER,DESC_RIP,DETT_RIP,CAT_MER,PREVALEN,TIPO_LOC,MQ_TOT_L,MQ_TOT_V,TIPO_ADD,NOME_ADD,SEZCENS,ZONASTAT,NCIRCO,SEZ_ELET,CAP
"POINT (1396292.97419879 4990248.08418881)",EP,VIA SILVIO PELLICO 11/C,No,No,,2016,11,ALTRO,Somministrazione,U,Nessuna,,136880,53,,,,343,09,8,0,10125
"POINT (1396335.412 4990592.786)",CF,CORSO VITTORIO EMANUELE II 27/F,No,No,,2012,5,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Oggetti preziosi,S,121384,43,20,,NEGOZIO,321,09,8,0,10125
"POINT (1396005.771 4990345.631)",CF,VIA SALUZZO 32,Si,No,,2014,1,ALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Alimentari,S,127767,48,23,,NEGOZIO,339,09,8,725,10125
"POINT (1396114.522 4990452.291)",CF,VIA GOITO 17/B,No,No,,2014,3,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Alimentari,S,128552,115,54,,NEGOZIO,334,09,8,0,10125
"POINT (1396062.346 4990439.016)",CF,VIA CLAUDIO LUIGI BERTHOLLET 4 bis/F,No,No,,2016,12,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Alimentari,N,135753,64,23,,NEGOZIO,340,09,8,0,10125
"POINT (1396292.97419879 4990248.08418881)",CF,VIA SILVIO PELLICO 11/C,No,No,,2017,10,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Mista,S,139500,54,54,,NEGOZIO,343,09,8,0,10125
"POINT (1396335.412 4990592.786)",CF,CORSO VITTORIO EMANUELE II 27/F,No,No,,2012,5,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Vendita al dettaglio di cose antiche ed usate,N,121384,43,20,,NEGOZIO,321,09,8,0,10125
"POINT (1396005.047 4990342.69)",EP,VIA SALUZZO 32 bis/A,No,No,,2004,1,ALTRO,Somministrazione,B,Nessuna,,55658,51,,,,339,09,8,0,10125
"POINT (1396114.522 4990452.291)",CF,VIA GOITO 17/B,No,No,,2014,3,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,N,128552,115,54,,NEGOZIO,334,09,8,0,10125
"POINT (1396053.627 4990456.919)",CF,VIA CLAUDIO LUIGI BERTHOLLET 5/A,No,No,,2009,8,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Alimentari,S,108880,235,176,N,NEGOZIO,333,09,8,0,10125
"POINT (1396145.398 4990668.944)",CF,VIA SALUZZO 1/E,No,No,,2011,6,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Librerie,S,136447,83,68,,NEGOZIO,319,09,8,0,10125
"POINT (1396005.047 4990342.69)",CF,VIA SALUZZO 32 bis/A,No,No,,2014,7,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Mista,S,129821,119,32,,NEGOZIO,339,09,8,0,10125
"POINT (1396114.522 4990452.291)",CF,VIA GOITO 17/B,No,No,,2011,12,ALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Alimentari annessi ad altra attivita,S,135599,118,9,,NEGOZIO,334,09,8,0,10125
"POINT (1396053.627 4990456.919)",CF,VIA CLAUDIO LUIGI BERTHOLLET 5/A,No,No,,2009,8,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,N,108880,235,176,N,NEGOZIO,333,09,8,0,10125
"POINT (1396131.807 4990642.108)",EP,VIA SALUZZO 3,Si,No,,2006,10,.,Somministrazione,A,Nessuna,,55154,218,,N,,319,09,8,724,10125
"POINT (1396324.635 4990598.487)",CF,CORSO VITTORIO EMANUELE II 29/B,No,No,,2013,10,ALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Bibite,S,108387,40,2,N,NEGOZIO,321,09,8,0,10125
"POINT (1395973.343 4990233.896)",CF,VIA SALUZZO 40/B,No,No,,2015,9,ALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Gelateria,S,133578,38,31,,NEGOZIO,351,09,8,0,10125
"POINT (1396131.807 4990642.108)",EP,VIA SALUZZO 3,Si,No,,2000,1,ALTRO,Somministrazione,A,Nessuna,,51320,182,,,,319,09,8,724,10125
"POINT (1396317.397 4990602.317)",CF,CORSO VITTORIO EMANUELE II 29/E,No,No,,2004,11,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Non alimentari generici,S,11871,19,.,N,NEGOZIO,321,09,8,0,10125
"POINT (1396127.389 4990379.363)",CF,VIA BELFIORE 1/F,No,No,,2009,10,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Casalinghi - Igiene casa e persona,S,109544,20,18,N,NEGOZIO,341,09,8,0,10125
"POINT (1396070.167 4990542.427)",AE,VIA SALUZZO 10 bis/B,No,No,,2001,12,ALTRO,Acconciatori/estetisti,Acconciatori,Nessuna,,62123,28,.,,,332,09,8,0,10125
"POINT (1395971.446 4990227.621)",CF,VIA SALUZZO 40,Si,No,,2014,12,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Vendita al dettaglio di cose antiche ed usate,S,118306,80,50,,NEGOZIO,351,09,8,730,10125
"POINT (1396317.397 4990602.317)",CF,CORSO VITTORIO EMANUELE II 29/E,No,No,,2004,11,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Alimentari,N,11871,19,.,N,NEGOZIO,321,09,8,0,10125
"POINT (1396116.228 4990378.968)",EP,VIA BELFIORE 4,No,No,,2002,7,ALTRO,DIA di somministrazione,nei circoli,Nessuna,,53902,120,,,,340,09,8,725,10125
"POINT (1396070.167 4990542.427)",CF,VIA SALUZZO 10 bis/B,No,No,,2006,3,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Profumeria,S,64890,44,30,N,NEGOZIO,332,09,8,0,10125
"POINT (1395971.446 4990227.621)",CF,VIA SALUZZO 40,Si,No,,2014,12,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Abbigliamento,N,118306,80,50,,NEGOZIO,351,09,8,730,10125
"POINT (1396311.401 4990605.489)",CF,CORSO VITTORIO EMANUELE II 29/G,No,No,,2002,1,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,S,20260,34,.,,NEGOZIO,321,09,8,0,10125
"POINT (1396116.228 4990378.968)",CF,VIA BELFIORE 4,No,No,,2017,9,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Alimentari,S,139060,39,36,,NEGOZIO,340,09,8,725,10125
"POINT (1396069.563 4990507.76)",CF,VIA SALUZZO 11 bis/D,No,No,,2013,6,MISTA,MEDIE STRUTTURE,Medie strutture di vendita,Mista,S,125891,341,311,,NEGOZIO,333,09,8,0,10125
"POINT (1395967.149 4990212.616)",EP,VIA SALUZZO 42/B,No,No,,2011,11,ALTRO,Somministrazione,U,Nessuna,,117854,47,,,,351,09,8,0,10125
"POINT (1396308.167 4990607.2)",EP,CORSO VITTORIO EMANUELE II 29/H,No,No,,2015,11,.,Somministrazione,U,Nessuna,,131919,42,,,,321,09,8,0,10125
"POINT (1396116.228 4990378.968)",CF,VIA BELFIORE 4,No,No,,2017,9,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,N,139060,39,36,,NEGOZIO,340,09,8,725,10125
"POINT (1396060.134 4990482.499)",EP,VIA SALUZZO 13/D,No,No,,2016,10,.,Somministrazione,A,Nessuna,,51357,76,,,,333,09,8,0,10125
"POINT (1395960.67 4990190.361)",EP,VIA SALUZZO 42 bis/A,No,No,,2012,9,ALTRO,Somministrazione,U,Nessuna,,122909,45,,,,351,09,8,0,10125
"POINT (1396116.228 4990378.968)",CF,VIA BELFIORE 4,No,No,,2005,2,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Phone center,S,16535,40,.,N,NEGOZIO,340,09,8,725,10125
"POINT (1396036.018 4990450.293)",CF,VIA SALUZZO 18/A,No,No,,2011,12,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Telefonia,S,118484,60,35,,,339,09,8,0,10125
"POINT (1395950.892 4990156.771)",CF,VIA SALUZZO 44/E,No,No,,2010,1,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Audiovisivi,S,110513,25,25,,NEGOZIO,351,09,8,0,10125
"POINT (1396118.775 4990387.711)",EP,VIA BELFIORE 4/B,No,No,,2013,8,ALTRO,Somministrazione,U,Nessuna,,122790,47,,,,340,09,8,725,10125
"POINT (1396036.018 4990450.293)",CF,VIA SALUZZO 18/A,No,No,,2011,12,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Alimentari,N,118484,60,35,,,339,09,8,0,10125
"POINT (1396248.819 4990457.664)",AE,VIA BERNARDINO GALLIARI 12/F,No,No,,2015,1,ALTRO,Acconciatori/estetisti,Acconciatori,Nessuna,,136071,29,.,,,335,09,8,0,10125
"POINT (1395948.522 4990148.631)",CF,VIA SALUZZO 44/G,No,No,,2004,4,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,S,36824,.,35,N,NEGOZIO,351,09,8,0,10125
"POINT (1396041.063 4990188.019)",EP,VIA BELFIORE 22 scala B,No,No,,2014,11,ALTRO,Somministrazione,U,Nessuna,,130689,55,,,,352,09,8,730,10125
"POINT (1396033.68 4990402.983)",CF,VIA SALUZZO 19/D,No,No,,2016,9,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Mista,S,136454,62,53,,NEGOZIO,340,09,8,0,10125
"POINT (1396248.819 4990457.664)",CF,VIA BERNARDINO GALLIARI 12/F,No,No,,2014,3,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,S,128451,25,25,,,335,09,8,0,10125
"POINT (1395948.522 4990148.631)",CF,VIA SALUZZO 44/G,No,No,,2003,2,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Mobili,S,15434,30,.,,NEGOZIO,351,09,8,0,10125
"POINT (1396089.725 4990287.985)",EP,VIA BELFIORE 16/C,No,No,,2015,6,ALTRO,Somministrazione,U,Nessuna,,132738,50,,,,340,09,8,0,10125
"POINT (1396263.285 4990436.598)",EP,VIA BERNARDINO GALLIARI 14 int. 1,No,No,,1996,11,ALTRO,DIA di somministrazione,nei circoli,Nessuna,,48039,75,,,,335,09,8,726,10125
"POINT (1396263.285 4990436.598)",CF,VIA BERNARDINO GALLIARI 14 int. 1,No,No,,2011,2,ALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Panificio,S,18622,44,.,N,NEGOZIO,335,09,8,726,10125
"POINT (1396276.934 4990442.887)",CF,VIA BERNARDINO GALLIARI 14 bis/C,No,No,,2015,12,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Telefonia,S,134447,29,14,,NEGOZIO,335,09,8,0,10125
"POINT (1396287.782 4990450.662)",CF,VIA BERNARDINO GALLIARI 15/D,No,No,,2006,12,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Non alimentari annessi ad altre attivita,S,98349,59,15,N,NEGOZIO,328,09,8,0,10125
"POINT (1396258.754 4990319.827)",EP,VIA PRINCIPE TOMMASO 14 bis,Si,No,,2009,2,.,Somministrazione,D,Nessuna,,50856,26,,N,,342,09,8,727,10125
"POINT (1396310.971 4990438.397)",CF,VIA BERNARDINO GALLIARI 15 bis/E,No,No,,2000,8,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,S,35867,150,.,,NEGOZIO,328,09,8,0,10125
"POINT (1396258.754 4990319.827)",CF,VIA PRINCIPE TOMMASO 14 bis,Si,No,,2009,2,ALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Pasticceria,S,21717,50,35,N,NEGOZIO,342,09,8,727,10125
"POINT (1396295.222 4990433.276)",EP,VIA BERNARDINO GALLIARI 16/C,No,No,,2012,9,.,Somministrazione,A,Nessuna,,56420,81,,N,,335,09,8,0,10125
"POINT (1396258.754 4990319.827)",CF,VIA PRINCIPE TOMMASO 14 bis,Si,No,,2007,12,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Phone center,S,102518,.,5,N,NEGOZIO,342,09,8,727,10125
"POINT (1396344.279 4990420.769)",CF,VIA BERNARDINO GALLIARI 17,Si,No,,2014,8,ALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Gastronomia,S,129958,28,1,,NEGOZIO,329,09,8,727,10125
"POINT (1396255.246 4990312.921)",EP,VIA PRINCIPE TOMMASO 16/A,No,No,,2017,4,.,Somministrazione,U,Nessuna,,114431,20,,,,342,09,8,0,10125
"POINT (1396344.279 4990420.769)",CF,VIA BERNARDINO GALLIARI 17,Si,No,,2013,12,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Negozio con apparecchi automatici,S,127484,7,6,,NEGOZIO,329,09,8,727,10125
"POINT (1396255.246 4990312.921)",CF,VIA PRINCIPE TOMMASO 16/A,No,No,,2013,11,ALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Bibite,S,26025,75,2,N,NEGOZIO,342,09,8,0,10125
"POINT (1396344.279 4990420.769)",CF,VIA BERNARDINO GALLIARI 17,Si,No,,2009,7,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,S,109119,109,95,N,NEGOZIO,329,09,8,727,10125
"POINT (1396251.902 4990306.338)",AE,VIA PRINCIPE TOMMASO 16,Si,No,,1985,9,ALTRO,Acconciatori/estetisti,Acconciatori,Nessuna,,111338,31,.,,,342,09,8,726,10125
"POINT (1396344.279 4990420.769)",CF,VIA BERNARDINO GALLIARI 17,Si,No,,2009,7,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Alimentari annessi ad altra attivita,N,109119,109,95,N,NEGOZIO,329,09,8,727,10125
"POINT (1396251.902 4990306.338)",CF,VIA PRINCIPE TOMMASO 16,Si,No,,2017,5,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Bibite,S,138368,19,19,,NEGOZIO,342,09,8,726,10125
"POINT (1396344.279 4990420.769)",CF,VIA BERNARDINO GALLIARI 17,Si,No,,2007,5,ALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Gastronomia,S,100013,50,25,N,NEGOZIO,329,09,8,727,10125
"POINT (1396517.675 4990406.246)",CF,VIA S. PIO V 30/B,No,No,,1994,8,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,S,138848,78,59,,,330,09,8,0,10125
"POINT (1396251.902 4990306.338)",CF,VIA PRINCIPE TOMMASO 16,Si,No,,2017,5,MISTA,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,N,138368,19,19,,NEGOZIO,342,09,8,726,10125
"POINT (1396374.364 4990404.89)",CF,VIA BERNARDINO GALLIARI 19/C,No,No,,2014,6,ALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Gastronomia,S,129308,37,17,,,329,09,8,0,10125
"POINT (1396246.35 4990295.406)",CF,VIA PRINCIPE TOMMASO 16 bis,No,No,,2012,6,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Fiori e piante,S,121589,25,20,,NEGOZIO,342,09,8,726,10125
"POINT (1396374.364 4990404.89)",CF,VIA BERNARDINO GALLIARI 19/C,No,No,,2011,2,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Abbigliamento,S,114819,26,26,,NEGOZIO,329,09,8,0,10125
"POINT (1396263.331 4990302.611)",EP,VIA PRINCIPE TOMMASO 17/H,No,No,,1992,11,ALTRO,Somministrazione,A,Nessuna,,44494,93,,N,,343,09,8,0,10125
"POINT (1396264.397 4990630.234)",CF,CORSO VITTORIO EMANUELE II 37/C,No,No,,1999,11,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,S,24379,30,.,,NEGOZIO,320,09,8,0,10125
"POINT (1396343.811 4990407.517)",EP,VIA BERNARDINO GALLIARI 20/F,No,No,,2016,4,ALTRO,Somministrazione,U,Nessuna,,135172,66,,,,336,09,8,0,10125
"POINT (1396260.958 4990632.042)",EP,CORSO VITTORIO EMANUELE II 37/D,No,No,,1997,10,ALTRO,Somministrazione,B,Nessuna,,49126,38,,,,320,09,8,0,10125
"POINT (1396243.507 4990289.806)",CF,VIA PRINCIPE TOMMASO 18/A,No,No,,2017,5,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,S,138402,60,40,,NEGOZIO,342,09,8,0,10125
"POINT (1396343.811 4990407.517)",EP,VIA BERNARDINO GALLIARI 20/F,No,No,,2017,12,.,Somministrazione,B,Nessuna,,122858,80,,,,336,09,8,0,10125
"POINT (1396237.955 4990278.876)",CF,VIA PRINCIPE TOMMASO 18/D,No,No,,1986,10,ALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Panificio,S,39537,35,.,N,NEGOZIO,342,09,8,0,10125
"POINT (1396286.593 4990541.896)",CF,PIAZZETTA LEVI PRIMO 9,No,No,,2006,5,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,S,107401,.,100,N,NEGOZIO,321,09,8,727,10125
"POINT (1396260.754 4990297.546)",CF,VIA PRINCIPE TOMMASO 21/A,No,No,,2014,5,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,S,129222,28,20,,NEGOZIO,343,09,8,0,10125
"POINT (1396192.645 4990189.215)",EP,VIA PRINCIPE TOMMASO 22,Si,No,,2013,7,.,Somministrazione,U,Nessuna,,113233,50,,,,354,09,8,729,10125
"POINT (1396086.517 4990276.973)",CF,VIA BELFIORE 16/G,No,No,,2012,8,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Tabacchi,S,30406,90,90,N,NEGOZIO,340,09,8,0,10125
"POINT (1396190.883 4990159.595)",EP,VIA PRINCIPE TOMMASO 31/E,No,No,,2016,8,ALTRO,Somministrazione,U,Nessuna,,136214,59,,,,355,09,8,0,10125
"POINT (1396086.517 4990276.973)",CF,VIA BELFIORE 16/G,No,No,,2012,8,EXTRALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Extralimentari,N,30406,90,90,N,NEGOZIO,340,09,8,0,10125
"POINT (1396193.521 4990164.86)",CF,VIA PRINCIPE TOMMASO 31,Si,No,,2016,7,ALIMENTARI,PICCOLE STRUTTURE,Vend.dettaglio con superf. fino a mq 250,Bibite,S,136237,101,9,,NEGOZIO,355,09,8,729,10125
